kanji,id_5th_ed,id_6th_ed,keyword_5th_ed,keyword_6th_ed,components,on_reading,kun_reading,stroke_count,jlpt
一,1,1,one,one,,イチ; イツ,ひと-; ひと.つ,1,N5
二,2,2,two,two,,ニ; ジ,ふた; ふた.つ; ふたた.び,2,N5
三,3,3,three,three,,サン; ゾウ,み; み.つ; みっ.つ,3,N5
四,4,4,four,four,pent in; human legs,シ,よ; よ.つ; よっ.つ; よん,5,N5
五,5,5,five,five,,ゴ,いつ; いつ.つ,4,N5
六,6,6,six,six,top hat; animal legs,ロク; リク,む; む.つ; むっ.つ; むい,4,N5
七,7,7,seven,seven,diced,シチ,なな; なな.つ; なの,2,N5
八,8,8,eight,eight,,ハチ,や; や.つ; やっ.つ; よう,2,N5
九,9,9,nine,nine,baseball,キュウ; ク,ここの; ここの.つ,2,N5
十,10,10,ten,ten,needle,ジュウ; ジッ; ジュッ,とお; と,2,N5
口,11,11,mouth,mouth,,コウ; ク,くち,3,N4
日,12,12,day,day,sun,ニチ; ジツ,ひ; -び; -か,4,N5
月,13,13,month,month,moon; flesh; part of the body,ゲツ; ガツ,つき,4,N5
田,14,14,rice field,rice field,brains,デン,た,5,N4
目,15,15,eye,eye,,モク; ボク,め; -め; ま-,5,N4
古,16,16,old,old,tombstone; gravestone; church; ten; needle; mouth,コ,ふる.い; ふる-; -ふる.す,5,N4
吾,17,17,I,I,five; mouth,ゴ,われ; わが-; あ-,7,
冒,18,18,risk,risk,sun; day; eye,ボウ,おか.す,9,N1
朋,19,19,companion,companion,moon; month; flesh; part of the body,ホウ,とも,8,N1
明,20,20,bright,bright,sun; day; moon; month; flesh; part of the body,メイ; ミョウ; ミン,あ.かり; あか.るい; あか.るむ; あか.らむ; あき.らか; あ.ける; -あ.け; あ.く; あ.くる; あ.かす,8,N4
唱,21,21,chant,chant,mouth; prosperous; sun; day; tongue wagging,ショウ,とな.える,11,N1
晶,22,22,sparkle,sparkle,day; sun,ショウ,,12,N1
品,23,23,goods,goods,mouth,ヒン; ホン,しな,9,N4
呂,24,24,spine,spine,mouth; drop,ロ; リョ,せぼね,7,N1
昌,25,25,prosperous,prosperous,sun; day,ショウ,さかん,8,N1
早,26,26,early,early,sunflower; sun; day; ten; needle,ソウ; サッ,はや.い; はや; はや-; はや.まる; はや.める; さ-,6,N4
旭,27,27,rising sun,rising sun,nine; baseball; sun; day,キョク,あさひ,6,N1
世,28,28,generation,generation,ten; twenty,セイ; セ; ソウ,よ; さんじゅう,5,N4
胃,29,29,stomach,stomach,rice field; brains; moon; month; flesh; part of the body,イ,,9,N2
旦,30,30,nightbreak,nightbreak,sun; one; floor,タン; ダン,あき.らか; あきら; ただし; あさ; あした,5,N1
胆,31,31,gall bladder,gall bladder,gallbladder; moon; month; flesh; part of the body; nightbreak; sun; day; one; floor,タン,きも,9,N1
亘,32,32,span,span,one; ceiling; sun; day; one; floor,コウ; カン,わた.る; もと.める,6,N1
凹,33,33,concave,concave,,オウ,くぼ.む; へこ.む; ぼこ,5,N1
凸,34,34,convex,convex,,トツ,でこ,5,N1
旧,35,35,olden times,olden times,stick; sun; day,キュウ,ふる.い; もと,5,N2
自,36,36,oneself,oneself,drop; eye,ジ; シ,みずか.ら; おの.ずから; おの.ずと,6,N4
白,37,37,white,white,drop; sun; day,ハク; ビャク,しろ; しら-; しろ.い,5,N5
百,38,38,hundred,hundred,one; ceiling; white; dove,ヒャク; ビャク,もも,6,N5
中,39,39,in,in,stick; mouth,チュウ,なか; うち; あた.る,4,N5
千,40,40,thousand,thousand,drop; ten; needle,セン,ち,3,N5
舌,41,41,tongue,tongue,thousand; drop; ten; needle; mouth,ゼツ,した,6,N1
升,42,42,measuring box,measuring box,thousand; drop; ten; needle,ショウ,ます,4,N1
昇,43,43,rise up,rise up,sun; day; measuring box; thousand; drop; ten; needle,ショウ,のぼ.る,8,N2
丸,44,44,round,round,drop; nine; baseball,ガン,まる; まる.める; まる.い,3,N2
寸,45,45,measurement,measurement,glue; drop; ten with a hook,スン,,3,N1
肘,2464,46,elbow,elbow,moon; month; flesh; part of the body; glue,チュウ,ひじ,7,
専,46,47,specialty,specialty,ten; needle; rice field; brains; glue,セン,もっぱ.ら,9,N2
博,47,48,Dr.,Dr.,ten; needle; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,ハク; バク,,12,N1
占,48,49,fortune-telling,fortune-telling,magic wand; augury; divining rod; mouth,セン,し.める; うらな.う,5,N2
上,49,50,above,above,magic wand; augury; divining rod; one; floor,ジョウ; ショウ; シャン,うえ; -うえ; うわ-; かみ; あ.げる; -あ.げる; あ.がる; -あ.がる; あ.がり; -あ.がり; のぼ.る; のぼ.り; のぼ.せる; のぼ.す; よ.す,3,N5
下,50,51,below,below,one; ceiling; magic wand; augury; divining rod,カ; ゲ,した; しも; もと; さ.げる; さ.がる; くだ.る; くだ.り; くだ.す; -くだ.す; くだ.さる; お.ろす; お.りる,3,N5
卓,51,52,eminent,eminent,magic wand; augury; divinging rod; sunflower; sun; day; ten; needle,タク,,8,N1
朝,52,53,morning,morning,mist; ten; needle; early; sun; day; moon; month; flesh; part of the body,チョウ,あさ,12,N4
嘲,2155,54,derision,derision,mouth; morning; mist; ten; needle; early; sun; day; moon; month; flesh; part of the body,チョウ; トウ,あざけ.る,15,
只,53,55,only,only,mouth; animal legs; eight,シ,ただ,5,N1
貝,54,56,shellfish,shellfish,clam; oyster; eye; animal legs; eight,バイ,かい,7,N2
唄,2178,57,pop song,pop song,mouth; shellfish; clam; oyster; eye; animal legs; eight,バイ,うた; うた.う,10,N1
貞,55,58,upright,upright,magic wand; augury; divining rod; shellfish; clam; oyster; eye; animal legs; eight,テイ,さだ,9,N1
員,56,59,employee,employee,mouth; shellfish; clam; oyster; eye; animal legs; eight,イン,,10,N4
貼,2736,60,affix,post a bill,shellfish; clam; oyster; eye; animal legs; eight; fortune-telling; magic wand; augury; mouth,テン; チョウ,は.る; つ.く,12,
見,57,61,see,see,eye; human legs,ケン,み.る; み.える; み.せる,7,N5
児,58,62,newborn babe,newborn babe,olden times; stick; sun; day; human legs,ジ; ニ; ゲイ,こ; -こ; -っこ,7,N2
元,59,63,beginning,beginning,two; human legs,ゲン; ガン,もと,4,N4
頁,60,64,page,page,one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ケツ,ぺえじ; おおがい; かしら,9,
頑,61,65,stubborn,stubborn,beginning; two; human legs; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ガン,かたく,13,N1
凡,62,66,mediocre,mediocre,drop; wind,ボン; ハン,およ.そ; おうよ.そ; すべ.て,3,N1
負,63,67,defeat,defeat,bound up; shellfish; clam; oyster; eye; animal legs; eight,フ,ま.ける; ま.かす; お.う,9,N3
万,64,68,ten thousand,ten thousand,one; ceiling; bound up,マン; バン,よろず,3,N5
句,65,69,phrase,phrase,bound up; mouth,ク,,5,N1
肌,66,70,texture,texture,moon; month; flesh; part of the body; wind,キ,はだ,6,N2
旬,67,71,decameron,decameron,bound up; sun; day,ジュン; シュン,,6,N1
勺,68,72,ladle,ladle,bound up; drop,シャク,,3,N1
的,69,73,bull's eye,bull's eye,bull’s eye; white; dove; ladle; bound up; drop,テキ,まと,8,
首,70,74,neck,neck,horns; nose; one; ceiling; drop; eye,シュ,くび,9,N3
乙,71,75,fish guts,fish guts,fishguts; fishhook,オツ; イツ,おと-; きのと,1,N1
乱,72,76,riot,riot,tongue; thousand; drop; ten; needle; mouth; fishhook,ラン; ロン,みだ.れる; みだ.る; みだ.す; みだ; おさ.める; わた.る,7,N2
直,73,77,straightaway,straightaway,ten; needle; eye; fishhook,チョク; ジキ; ジカ,ただ.ちに; なお.す; -なお.す; なお.る; なお.き; す.ぐ,8,N3
具,74,78,tool,tool,eye; one; animal legs; eight,グ,そな.える; つぶさ.に,8,N3
真,75,79,true,true,ten; needle; eye; tool; one; animal legs; eight,シン,ま; ま-; まこと,10,N4
工,76,80,craft,craft,artificial,コウ; ク; グ,,3,N4
左,77,81,left,left,by one’s side; craft,サ; シャ,ひだり,5,N5
右,78,82,right,right,by one’s side; mouth,ウ; ユウ,みぎ,5,N5
有,79,83,possess,possess,by one’s side; moon; month; flesh; part of the body,ユウ; ウ,あ.る,6,N4
賄,80,84,bribe,bribe,shellfish; clam; oyster; eye; animal legs; eight; possess; by one’s side; moon; month; flesh; part of the body,ワイ,まかな.う,13,N1
貢,81,85,tribute,tribute,craft; shellfish; clam; oyster; eye; animal legs; eight,コウ; ク,みつ.ぐ,10,N1
項,82,86,paragraph,paragraph,craft; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,コウ,うなじ,12,N1
刀,83,87,sword,sword,dagger,トウ,かたな; そり,2,N1
刃,84,88,blade,blade,drop; sword; dagger,ジン; ニン,は; やいば; き.る,3,N1
切,85,89,cut,cut,seven; diced; sword; dagger,セツ; サイ,き.る; -き.る; き.り; -き.り; -ぎ.り; き.れる; -き.れる; き.れ; -き.れ; -ぎ.れ,4,N4
召,86,90,seduce,seduce,sword; dagger; mouth,ショウ,め.す,5,N2
昭,87,91,shining,shining,sun; day; seduce; summon; sword; dagger; mouth,ショウ,,9,N1
則,88,92,rule,rule,shellfish; clam; oyster; eye; animal legs; eight; sword; sabre; saber,ソク,のっと.る,9,N2
副,89,93,vice-,vice-,wealth; one; ceiling; mouth; rice field; brains; sword; sabre; saber,フク,,11,N2
別,90,94,separate,separate,mouth; bound up; sword; sabre; saber,ベツ,わか.れる; わ.ける,7,N4
丁,91,95,street,street,nail; spike,チョウ; テイ; チン; トウ; チ,ひのと,2,N1
町,92,96,village,village,rice field; brains; street; nail; spike,チョウ,まち,7,N4
可,93,97,can,can,mouth; street; street; nail; spike,カ; コク,-べ.き,5,
頂,94,98,place on the head,place on the head,street; nail; spike; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,チョウ,いただ.く; いただき,11,N3
子,95,99,child,child,,シ; ス; ツ,こ; -こ; ね,3,N5
孔,96,100,cavity,cavity,child; fishhook,コウ,あな,4,N1
了,97,101,complete,complete,child with arms wrapped up,リョウ,,2,N2
女,98,102,woman,woman,,ジョ; ニョ; ニョウ,おんな; め,3,N5
好,99,103,fond,fond,woman; child,コウ,この.む; す.く; よ.い; い.い,6,N3
如,100,104,likeness,likeness,woman; mouth,ジョ; ニョ,ごと.し,6,N1
母,101,105,mama,mama,mother; breasts,ボ,はは; も,5,N5
貫,102,106,pierce,pierce,mama; mother; breasts; oyster; shellfish; clam; oyster; eye; animal legs; eight,カン,つらぬ.く; ぬ.く; ぬき,11,N1
兄,103,107,elder brother,elder brother,teenager; mouth; human legs,ケイ; キョウ,あに,5,N4
呪,2169,108,curse,curse,mouth; elder brother; teenager; mouth; human legs,ジュ; シュ; シュウ; ズ,まじな.う; のろ.い; まじな.い; のろ.う,8,
克,104,109,overcome,overcome,ten; needle; elder brother; teenager; mouth; human legs,コク,か.つ,7,N1
小,105,110,little,little,small,ショウ,ちい.さい; こ-; お-; さ-,3,N5
少,106,111,few,few,little; small; drop,ショウ,すく.ない; すこ.し,4,N4
大,107,112,large,large,St. Bernard,ダイ; タイ,おお-; おお.きい; -おお.いに,3,N5
多,108,113,many,many,evening,タ,おお.い; まさ.に; まさ.る,6,N4
夕,109,114,evening,evening,,セキ,ゆう,3,N4
汐,110,115,eventide,eventide,water; water droplets; water pistol; evening,セキ,しお; うしお; せい,6,N1
外,111,116,outside,outside,evening; magic wand; augury,ガイ; ゲ,そと; ほか; はず.す; はず.れる; と-,5,N5
名,112,117,name,name,evening; mouth,メイ; ミョウ,な; -な,6,N5
石,113,118,stone,stone,cliff; mouth,セキ; シャク; コク,いし,5,N3
肖,114,119,resemblance,resemblance,spark; candle; small; little; moon; month; flesh; part of the body,ショウ,あやか.る,7,N1
硝,115,120,nitrate,nitrate,stone; rock; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,,12,N1
砕,116,121,smash,smash,stone; rock; ninety; nine; baseball; ten; needle,サイ,くだ.く; くだ.ける,9,N1
砂,117,122,sand,sand,stone; rock; few,サ; シャ,すな,9,N2
妬,2195,123,jealous,jealous,woman; stone; rock,ト; ツ,ねた.む; そね.む; つも.る; ふさ.ぐ,8,
削,118,124,plane,plane,resemblance; spark; candle; small; little; moon; month; flesh; part of the body; sword; sabre; saber,サク,けず.る; はつ.る; そ.ぐ,9,N1
光,119,125,ray,ray,small; little; human legs,コウ,ひか.る; ひかり,6,N3
太,120,126,plump,plump,large; St. Bernard; drop,タイ; タ,ふと.い; ふと.る,4,N3
